사과__08/NNG	동시/NNG 에/JKB 국내/NNG 각/MM 언론사/NNG 에/JKB 	사과/NNG	성명/NNG 을/JKO 발표/NNG 하/XSV 겠/EP 다는/ETM 약속/NNG 까지/JX 하/VV 았/EP 다/EF ./SF 
배__09/NNG	이/MM 회장/NNG 은/JX 지나/VV ᆫ/ETM 99/SN 년/NNB 취임/NNG 하/XSV ᆫ/ETM 뒤/NNG 불과/MAG 3/SN 년/NNB 만/NNB 에/JKB 매출액/NNG (/SS 지난해/NNG 1400/SN 억/NR 원/NNB )/SS 을/JKO 세/MM 	배/NNG	나/JX 키우/VV 었/EP 다/EF ./SF 
배__09/NNG	은/JX "/SS 그룹/NNG 내/NNB 에/JKB 근무/NNG 하/XSV 는/ETM 외국인/NNG ,/SP 임직원/NNG 은/JX 지나/VV ᆫ/ETM 2000/SN 년/NNB 160/SN 여/XSN 명/NNB 에서/JKB 올해/NNG 450/SN 명/NNB 으로/JKB 세/MM 	배/NNG	가까이/MAG 늘어나/VV 았/EP 다/EF "/SS 고/JKQ 말/NNG 하/XSV 았/EP 다/EF ./SF 
배__09/NNG	대수/NNG 는/JX 작년/NNG 상반기/NNG 에/JKB 3521/SN 대/NNB 에/JKB 불과/MAG 하/XSA 았/EP 으나/EC 올해/NNG 상반기/NNG 에/JKB 는/JX 무려/MAG 7042/SN 대/NNB 를/JKO 기록/NNG ,/SP 판매/NNG 가/JKS 두/MM 	배/NNG	나/JX 증가/NNG 하/XSV 았/EP 다/EF ./SF 
배__09/NNG	되/XSV ᄆ/ETN 에/JKB 따르/VV 아/EC 올해/NNG 카드사/NNG 들/XSN 이/JKS 필수/NNG 적/XSN 으로/JKB 쌓/VV 아야/EC 하/VX ᆯ/ETM 충당금/NNG 이/JKS 9935/SN 억/NR 원/NNB 으로/JKB 종전/NNG 보다/JKB 두/MM 	배/NNG	이상/NNG 늘어나/VV 았/EP 다/EF "/SS 고/JKQ 밝히/VV 었/EP 다/EF ./SF 
배__09/NNG	하지만/MAJ 신용/NNG 카드/NNG 업계/NNG 의/JKG 1/SN ·/SP 2/SN 위/NNB 를/JKO 다투/VV 고/EC 있/VX 는/ETM LG/SL ·/SP 삼성카드/NNP 는/JX 기준/NNG 충당금/NNG 보다/JKB 3/SN ～/SO 4/SN 	배/NNG	이상/NNG 많/VA 은/ETM 충당금/NNG 을/JKO 이미/MAG 쌓/VV 아/EC 두/VX ᆫ/ETM 덕분/NNG 에/JKB 영향/NNG 이/JKS 크/VA 지/EC 않/VX 을/ETM 전망/NNG 이/VCP 다/EF ./SF 
배__09/NNG	작년/NNG 한/MM 해/NNG 동안/NNG 이름/NNG 을/JKO 바꾸/VV ᆫ/ETM 회사/NNG 수/NNG 가/JKS 78/SN 개/NNB 이/VCP 었/EP 던/ETM 점/NNG 을/JKO 감안/NNG 하/XSV 면/EC 약/MM 두/MM 	배/NNG	로/JKB 늘/VV ᆫ/ETM 셈/NNB 이/VCP 다/EF ./SF 
배__02/NNG	어민/NNG 들/XSN 신청/NNG 을/JKO 받/VV 아/EC 정부/NNG 가/JKS 	배/NNG	를/JKO 사들이/VV 어/EC 대부분/NNG 폐기/NNG 하/XSV 되/EC ,/SP 3/SN 년/NNB 간__x16/NNG 의/JKG 어업/NNG 소득/NNG 에/JKB 대하/VV 아서/EC ᆫ/JX 정부/NNG 가/JKS 보전/NNG 하/XSV 아/EC 주/VX ᆯ/ETM 
배__02/NNG	그/NP 는/JX 96/SN 년/NNB LA/SL 지사장/NNG 시절/NNG 에/JKB 의류/NNG 를/JKO 수출/NNG 하/XSV 면서/EC 제품/NNG 을/JKO 	배/NNG	가/JKC 아니/VCN ᆫ/ETM 비행기/NNG 로/JKB 싣/VV 어/EC 나르/VV 도록/EC 지시/NNG 하/XSV ᆫ/ETM 적/NNB 이/JKS 있/VV 다/EF ./SF 
배__01/NNG	당시/NNG 직원/NNG 들/XSN 은/JX 저마다/MAG 물류비용/NNG 을/JKO 지적/NNG 하/XSV 면서/EC "/SS 	배/NNG	보다/JKB 배꼽/NNG 이/JKS 더/MAG 크/VA 다/EC "/SS 고/JKQ 반대/NNG 하/XSV 았/EP 다/EF ./SF 
배__09/NNG	그러나/MAJ 1/SN 년/NNB 후/NNG 성적표/NNG 는/JX 연간/NNG 매출액/NNG 이/JKS 2/SN 	배/NNG	,/SP 수익/NNG 은/JX 3/SN 배/NNG 로/JKB 늘어나/VV 았/EP 다/EF ./SF 
배__09/NNG	그러나/MAJ 1/SN 년/NNB 후/NNG 성적표/NNG 는/JX 연간/NNG 매출액/NNG 이/JKS 2/SN 배/NNG ,/SP 수익/NNG 은/JX 3/SN 	배/NNG	로/JKB 늘어나/VV 았/EP 다/EF ./SF 
배__09/NNG	3/SN 개/NNB 카드사/NNG 의/JKG 경우/NNG 향후/NNG 1/SN 년/NNB 예상/NNG PER/SL 은/JX 5/SN ～/SO 6/SN 	배/NNG	수준/NNG 이/VCP 며/EC 향후/NNG 2/SN 년/NNB 간__x16/NNG 자기/NNG 자본/NNG 이익/NNG 률/XSN 은/JX 30/SN ～/SO 35/SN %/SW 수준/NNG 을/JKO 유지/NNG 하/XSV ᆯ/ETM 것/NNB 으로/JKB 기대/NNG 되/XSV 
배__09/NNG	예컨데/MAG ,/SP 45/SN 세/NNB 가입자/NNG 는/JX 30/SN 세/NNB 가입자/NNG 에/JKB 비하/VV 아/EC 거의/MAG 2/SN 	배/NNG	이상/NNG 비싸/VA ᆫ/ETM 보험료/NNG 를/JKO 물/VV 어야/EC 하/VX ᆫ다/EF ./SF 
배__01/NNG	을/JKO 거두/VV 며/EC 상금/NNG 6/SN 위/NNB (/SS 86/SN 만/NR 1943/SN 달러/NNB )/SS 에/JKB 오르/VV 았/EP 던/ETM 박지은/NNP 은/JX "/SS 체력/NNG 전담/NNG 코치/NNG 의/JKG 지도/NNG 아래/NNG 	배/NNG	에/JKB '/SS 왕/NNG (/SS 王/SH )/SS 자/IC '/SS 가/JKS 새기/VV 어/EC 지/VX ᆯ/ETM 만큼/NNB 체력/NNG 훈련/NNG 을/JKO 열심히/MAG 하/VV 고/EC 있/VX 다/EC "/SS 며/EC "/SS 
배__01/NNG	우즈/NNP 는/JX 전날/NNG 먹/VV 은/ETM 음식/NNG 이/JKS 잘못/MAG 되/XSV 어/EC 플레이/NNG 중간/NNG 	배/NNG	를/JKO 움켜쥐/VV 어야/EC 하/VX 았/EP 고/EC 가끔/MAG 으슥/XR 하/XSA ᆫ/ETM 곳/NNG 을/JKO 찾아가/VV 는/ETM 등/NNB 고통/NNG 스럽/XSA ᆫ/ETM 표정/NNG 이/VCP 었/EP 으나/EC 승부사/NNG 답/XSA 게/EC 
배__09/NNG	은/ETM 123/SN m/SL 이/VCP 었/EP 고/EC 총/MM 저수량/NNG 은/JX 화천/NNP ·/SP 춘천/NNP ·/SP 청평/NNP 등/NNB 한강/NNP 수계/NNG 5/SN 개/NNB 댐/NNG 저수/NNG 용량/NNG 의/JKG 거의/MAG 2/SN 	배/NNG	에/JKB 가깝/VA ᆫ/ETM 29/SN 억/NR t/SL 이/VCP 었/EP 다/EF ./SF 
배__09/NNG	마라톤/NNG 풀코스/NNG (/SS 42/SN ./SP 195/SN km/SL )/SS 의/JKG 두/MM 	배/NNG	가/JKS 넘/VV 는/ETM 울트라/NNG 마라톤/NNG 은/JX 인간/NNG 의/JKG 한계/NNG 를/JKO 시험/NNG 하/XSV 는/ETM 무대/NNG ./SF 
배__09/NNG	건너가/VV ᆫ/ETM 타이론/NNP 우즈/NNP (/SS 요코하마/NNP )/SS 가/JKS 13/SN 일/NNB 이번/NNG 시즌/NNG 연봉/NNG (/SS 50/SN 만/NR 달러/NNB ·/SP 약/MM 6/SN 억/NR 원/NNB )/SS 보다/JKB 두/MM 	배/NNG	높/VA 은/ETM 100/SN 만/NR 달러/NNB 에/JKB 1/SN 년/NNB 재계약/NNG 하/XSV 았/EP 다/EF ./SF 
배__09/NNG	임/NNP 감독/NNG 이/JKS 감독/NNG 을/JKO 맡/VV 으며/EC 2/SN 부/NNB 대회/NNG 입상/NNG 경험/NNG 이/JKS 없/VA 던/ETM 조선대/NNP 는/JX 10/SN 개월/NNB 만/NNB 에/JKB 2002/SN MBC/SL 	배/NNG	2/SN 부/NNB 경기/NNG 우승/NNG 을/JKO 거머쥐/VV 는/ETM 등/NNB 전력/NNG 이/JKS 급상승/NNG 하/XSV 았/EP 다/EF ./SF 
배__09/NNG	프로/NNG 전/NNG 대국보/NNG 를/JKO 비롯/XR ,/SP 다양/NNG 하/XSA ᆫ/ETM 자료/NNG 를/JKO 담/VV 았/EP 으며/EC 4/SN ·/SP 6/SN 	배/NNG	판__x14/NNG ,/SP 376/SN 쪽/NNG 에/JKB 정가/NNG 는/JX 2/SN 만/NR 3000/SN 원/NNB ./SF 
배__09/NNG	체력/NNG 훈련/NNG 강도/NNG 는/JX 예년/NNG 의/JKG 2/SN 	배/NNG	./SF 
배__09/NNG	2002/SN 년/NNB 의/JKG 경우/NNG 평일/NNG 3200/SN ～/SO 4300/SN 여/XSN 명/NNB 이/VCP 던/ETM 관중/NNG 이/JKS 주말/NNG 에/JKB ᆫ/JX 5600/SN ～/SO 7030/SN 명/NNB 으로/JKB 거의/MAG 	배/NNG	에/JKB 달하/VV 았/EP 다/EF ./SF 
배__09/NNG	ᆫ/ETM 경기/NNG 가/JKS 25/SN 차례/NNG 중/NNB 12/SN 차례/NNG 나/JX 되/VV 었/EP 다/EC 더블헤더/NNG 로/JKB 치르/VV 어도/EC 입장료/NNG 는/JX 한/MM 경기/NNG 기준/NNG 의/JKG 1/SN ./SP 5/SN 	배/NNG	./SF 
배__09/NNG	미군/NNG 이/JKS 있/VV 기/ETN 때문/NNB 에/JKB 쓰/VV 는/ETM 것/NNB 이/JKC 아니/VCN 라/EC 미군/NNG 이/JKS 없/VA 으면/EC 우리/NP 가/JKS 그/MM 몇/MM 십/NR 	배/NNG	를/JKO 더/MAG 쓰/VV 어야/EC 하/VX ᆯ/ETM 것/NNB 을/JKO 미군/NNG 이/JKS 있/VV 음/ETN 으로써/JKB 그만큼/MAG 덜/MAG 쓰/VV 는/ETM 것/NNB 이/VCP 다/EF ./SF 
배__09/NNG	더욱이/MAG 우리/NP 의/JKG 산업/NNG 재해/NNG 율/XSN 은/JX 88/SN 년/NNB 현재/MAG 2/SN ./SP 48/SN %/SW 로서/JKB 일본/NNP 의/JKG 4/SN ./SP 5/SN 	배/NNG	,/SP 대만/NNP 의/JKG 4/SN ./SP 7/SN 배/NNG 등/NNB 세계/NNG 최고/NNG 수준/NNG 이/VCP 다/EF ./SF 
배__09/NNG	의/JKG 산업/NNG 재해/NNG 율/XSN 은/JX 88/SN 년/NNB 현재/MAG 2/SN ./SP 48/SN %/SW 로서/JKB 일본/NNP 의/JKG 4/SN ./SP 5/SN 배/NNG ,/SP 대만/NNP 의/JKG 4/SN ./SP 7/SN 	배/NNG	등/NNB 세계/NNG 최고/NNG 수준/NNG 이/VCP 다/EF ./SF 
배__09/NNG	하/XSV 고/EC 공무원/NNG 들/XSN 의/JKG 불법/NNG -/SS 탈선/NNG 행위/NNG 는/JX 증가/NNG 일로/NNG 로/JKB 치닫/VV 아/EC ,/SP 최근/NNG 4/SN 년/NNB 사이/NNG 에/JKB 범죄/NNG 건수/NNG 가/JKS 2/SN 	배/NNG	나/JX 늘어나/VV 았/EP 다는/ETM 법무부/NNG 분석/NNG 이/JKS 있/VV 었/EP 다/EF ./SF 
배__09/NNG	그런/MM 가운데/NNG 서/JKB 도/JX 인구/NNG 는/JX 지나/VV ᆫ/ETM 40/SN 년/NNB 동안/NNG 	배/NNG	이상/NNG 이/JKS 늘/VV 었/EP 다/EF ./SF 
배__09/NNG	그/NP 들/XSN 생전/NNG 에/JKB 불/XPN 가능/NNG 하/XSA 다면/EC 40/SN 년/NNB 의/JKG 40/SN 	배/NNG	가/JKS 걸리/VV 어도/EC 역사/NNG 는/JX 바로/MAG 잡/VV 아야/EC 하/VX ᆫ다/EF ./SF 
배__09/NNG	내용/NNG 면/NNG 에서/JKB 보/VV ᆯ/ETM 때/NNG 북한/NNP 은/JX 우리/NP 의/JKG 국가/NNG 보안법/NNG 을/JKO 몇/MM 	배/NNG	나/JX 능가/NNG 하/XSV 는/ETM 가혹/NNG 하/XSA ᆫ/ETM 정치범/NNG 처벌/NNG 규정/NNG 을/JKO 그/MM 형법/NNG 에/JKB 포함/NNG 시키/XSV 고/EC 있/VX 다/EF ./SF 
배__09/NNG	페르시아/NNP 만/NNG 사태/NNG 이후/NNG 국제/NNG 원유/NNG 가/XSN 는/JX 거의/MAG 2/SN 	배/NNG	로/JKB 오르/VV 았/EP 는데/EC 도/JX 우리/NP 만/JX 저/XPN 유가/NNG 정책/NNG 을/JKO 고수/NNG 하/XSV 는/ETM 것/NNB 은/JX 현명/NNG 하/XSA 지/EC 않/VX 다/EF ./SF 
배__09/NNG	하/XSV 아/EC 보/VX ᆯ/ETM 때/NNG 가/JKC 되/VV 었/EP 다/EC 3/SN 년/NNB 연속/NNG 으로/JKB 연간/NNG 30/SN %/SW 씩/XSN 늘어나/VV 는/ETM 휘발유/NNG 소비/NNG 나/JC ,/SP 연간/NNG 2/SN 	배/NNG	씩/XSN 늘어나/VV 는/ETM 등유/NNG 소비/NNG 는/JX 가격/NNG 정책/NNG 만/JX 으로/JKB 대처/NNG 하/XSV 기/ETN 에/JKB 는/JX 한계/NNG 가/JKS 있/VV 기/ETN 때문/NNB 이/VCP 다/EF ./SF 
배__09/NNG	올해/NNG 는/JX 그것/NP 이/JKS 두/MM 	배/NNG	로/JKB 늘/VV ᆯ/ETM 것/NNB 이/VCP 라는/ETM 예측/NNG 이/VCP 다/EF ./SF 
배__09/NNG	물론/MAG 이케다/NNP 는/JX 허리/NNG 만/JX 굽히/VV ᆫ/ETM 것/NNB 이/JKC 아니/VCN 라/EC 집권/NNG 초기/NNG 부터/JX 밀/VV 고/EC 나가/VX ᆫ/ETM 소득/NNG 	배/NNG	가/JKS 정책/NNG 으로/JKB 일본/NNP 의/JKG GNP/SL 를/JKO 8/SN 년/NNB 만/NNB 에/JKB 2/SN ./SP 25/SN 배/NNG 나/JX 불리/VV 어/EC 놓/VX 았/EP 다/EF ./SF 
배__09/NNG	아니/VCN 라/EC 집권/NNG 초기/NNG 부터/JX 밀/VV 고/EC 나가/VX ᆫ/ETM 소득/NNG 배/NNG 가/JKS 정책/NNG 으로/JKB 일본/NNP 의/JKG GNP/SL 를/JKO 8/SN 년/NNB 만/NNB 에/JKB 2/SN ./SP 25/SN 	배/NNG	나/JX 불리/VV 어/EC 놓/VX 았/EP 다/EF ./SF 
배__09/NNG	한국/NNP 의/JKG 통합/NNG 주역/NNG 들/XSN 은/JX 자신/NNG 들/XSN 에게/JKB 주어지/VV ᆫ/ETM 문제/NNG 가/JKS 이케다/NNP 에게/JKB 주어지/VV ᆫ/ETM 문제/NNG 보다/JKB 몇/MM 	배/NNG	풀/VV 기/ETN 어렵/VA 다는/ETM 점/NNB 을/JKO 얼마나/MAG 절실히/MAG 느끼/VV 고/EC 있/VX 는/ETM 것/NNB 이/VCP ᆯ까/EF ./SF 
배__09/NNG	▴/SW 40/SN 년/NNB 대/XSN 후반/NNG 에서/JKB 70/SN 년/NNB 사이/NNG 에/JKB 미국/NNP 가정/NNG 의/JKG 실질/NNG 소득/NNG 은/JX 2/SN 	배/NNG	로/JKB 증가/NNG 하/XSV 았/EP 으나/EC ,/SP 70/SN 년/NNB 이후/NNG 지금/NNG 까지/JX 20/SN 년/NNB 간__x16/NNG 그/MM 숫자/NNG 는/JX 거의/MAG 변하/VV 지/EC 않/VX 았/EP 다/EF ./SF 
배__01/NNG	ᆫ/ETM 시기심/NNG 이/JKS 대표/NNG 적/XSN 이/VCP ᆫ/ETM 단점/NNG 으로/JKB 꼽히/VV ᆯ/ETM 것/NNB 은/JX 틀림없/VA 을/ETM 듯/NNB 하/XSA 다/EC '/SS 사촌/NNG 이/JKS 땅/NNG 을/JKO 사/VV 면/EC 	배/NNG	아프/VA 아/EC 하/VX ᆫ다/EC '/SS 는/ETM 우리/NP 전래/NNG 의/JKG 속담/NNG 은/JX 그래서/MAJ 생겨나/VV 았/EP 는지/EC 도/JX 모르/VV ᆫ다/EF ./SF 
배__02/NNG	//SP 03/SN //SP 25/SN 새/MM 대/XPN 야/NNG 권/XSN 의/JKG 건설/NNG (/SS 유근일/NNP 칼럼/NNG )/SS 신/XPN 여/NNG 권/XSN 쇄신/NNG 미흡/NNG 그동안/NNG 우리/NP 는/JX 민자당/NNP 이/VCP 란/ETM 	배/NNG	가/JKS 과연/MAG 어디/NP 로/JKB 선수/NNG 를/JKO 돌리/VV ᆯ/ETM 것/NNB 이/VCP ᆫ가/EC 를/JKO 주의/NNG 깊/VA 게/EC 살피/VV 어/EC 오/VX 았/EP 다/EF ./SF 
배__02/NNG	그러나/MAJ 이/MM 	배/NNG	가/JKS 프랑스/NNP 를/JKO 떠나/VV ᆯ/ETM 3/SN 월/NNB 17/SN 일/NNB 이후/NNG 이/MM 계획/NNG 은/JX 심각/XR 하/XSA ᆫ/ETM 도전/NNG 을/JKO 받/VV 고/EC 있/VX 다/EF ./SF 
배__02/NNG	이/MM 	배/NNG	에/JKB 타/VV ᆫ/ETM 사람/NNG 들/XSN 은/JX "/SS 우리/NP 의/JKG 유일/NNG 하/XSA ᆫ/ETM 방어/NNG 수단/NNG 은/JX 여론/NNG 밖에/JX 없/VA 다/EC "/SS 고/JKQ 하/VV 면서/EC 14/SN 일/NNB 
배__09/NNG	GNP/SL 는/JX 1/SN 조/NR 4/SN 천억/NR 달러/NNB 로/JKB 영국/NNP 및/MAG 이탈리아/NNP 의/JKG 1/SN ./SP 8/SN 	배/NNG	,/SP 프랑스/NNP 의/JKG 1/SN ./SP 5/SN 배/NNG 가/JKC 되/VV 게/EC 되/VV ᆫ다/EF ./SF 
배__09/NNG	GNP/SL 는/JX 1/SN 조/NR 4/SN 천억/NR 달러/NNB 로/JKB 영국/NNP 및/MAG 이탈리아/NNP 의/JKG 1/SN ./SP 8/SN 배/NNG ,/SP 프랑스/NNP 의/JKG 1/SN ./SP 5/SN 	배/NNG	가/JKC 되/VV 게/EC 되/VV ᆫ다/EF ./SF 
배__01/NNG	자기/NP 	배/NNG	만/JX 불리/VV 는데/EC 급급/XR 하/XSA ᆫ/ETM 기업가/NNG 들/XSN 이/JKS 없/VA 는/ETM 것/NNB 은/JX 아니/VCN 지만/EC ,/SP 정부/NNG 는/JX 기업/NNG 의/JKG 기술/NNG 개발/NNG ,/SP 생산/NNG 성/XSN 
배__09/NNG	1990/SN //SP 08/SN //SP 05/SN "/SS 예산/NNG 팽창/NNG 을/JKO 경계/NNG 하/XSV ᄆ/ETN "/SS //SP 정창영/NNP (/SS 시론/NNG )/SS GNP/SL 성장/NNG 의/JKG 2/SN 	배/NNG	정부/NNG 와/JC 여당/NNG 은/JX 내년도/NNG 예산/NNG 의/JKG 규모/NNG 를/JKO 올해/NNG 보다/JKB 25/SN %/SW 증가/NNG 하/XSV ᆫ/ETM 28/SN 조/NR 원/NNB 수준/NNG 에서/JKB 편성/NNG 하/XSV ᆯ/ETM 방침/NNG 
배__09/NNG	은/JX 약/MM 13/SN ./SP 5/SN %/SW 로/JKB 예상/NNG 되/XSV 는데/EC 예산/NNG 규모/NNG 의/JKG 증가/NNG 율/XSN 을/JKO 25/SN %/SW 로/JKB 늘리/VV ᆫ다는/ETM 것/NNB 은/JX 거의/MAG 2/SN 	배/NNG	에/JKB 달하/VV 는/ETM 급격/XR 하/XSA ᆫ/ETM 예산/NNG 팽창/NNG 을/JKO 의미/NNG 하/XSV ᆫ다/EF ./SF 
배__09/NNG	"/SS 그래서/MAJ 자신/NNG 이/JKS 치우/VV 는/ETM 쓰레기/NNG 의/JKG 양/NNG 도/JX 평상시/NNG 의/JKG 2/SN 	배/NNG	가/JKS 넘/VV 는/ETM 12/SN 대/NNB 분/XSN (/SS 6/SN t/SL 가량__x06/NNG )/SS 으로/JKB 늘어나/VV 았/EP 다고/EC 김/NNP 씨/NNB 는/JX 말/NNG 하/XSV 았/EP 다/EF ./SF 
배__02/NNG	마치/MAG 난파/NNG 직전/NNG 의/JKG 	배/NNG	를/JKO 타/VV ᆫ/ETM 듯/NNB 시민/NNG 이/JKS 불안/NNG 과/JC 조바심/NNG 의/JKG 노예/NNG 로/JKB 되/VV ᆫ/ETM 오늘/NNG ,/SP 좋/VA 게/EC 든/JX 나쁘/VA 게/EC 든/JX 가장/MAG 크/VA ᆫ/ETM 
배__02/NNG	태풍/NNG 이/JKS 몰아치/VV 는/ETM 	배/NNG	에서/JKB 방향타/NNG 를/JKO 놓/VV 은/ETM 채/NNB 서로/MAG 자리/NNG 다툼/NNG 을/JKO 일삼/VV 는/ETM 정치인/NNG 들/XSN 이/JKS 어떻/VA 게/EC 민족/NNG 의/JKG 운명/NNG 의/JKG 방향타/NNG 를/JKO 쥐/VV ᆯ/ETM 
배__09/NNG	고/EC SA/SL 2/SN ,/SP SA/SL 4/SN ,/SP 스커드/NNP 미사일/NNG 을/JKO 보유/NNG 하/XSV 는/ETM 등/NNB 전체/NNG 적/XSN 이/VCP ᆫ/ETM 전력/NNG 이/JKS 우리/NP 보다/JKB 1/SN ./SP 6/SN 	배/NNG	우세/NNG 하/XSA 다/EC "/SS 고/JKQ 말/NNG 하/XSV 고/EC ,/SP 북한/NNP 의/JKG 핵무기/NNG 개발/NNG 가능/NNG 성/XSN 에/JKB 대하/VV 아/EC "/SS 오/VV 는/ETM 95/SN 년/NNB 이후/NNG 에/JKB 
배__09/NNG	식품/NNG 과/JC 의류/NNG ,/SP 가구/NNG ,/SP 전자/NNG 제품/NNG 을/JKO 비롯/XR 하/XSV ᆫ/ETM 수십/NR 가지/NNB 품목/NNG 의/JKG 정부/NNG 고시/NNG 가격/NNG 은/JX 2/SN ./SP 5/SN ～/SO 10/SN 	배/NNG	까지/JX 오르/VV 게/EC 되/VV ᆫ다/EF ./SF 
배__09/NNG	민자당/NNP 은/JX 이/NP 와/JKB 함께/MAG 정당/NNG 후보/NNG 와/JC 무/XPN 소속/NNG 후보/NNG 와/JKB 의/JKG 차별/NNG 을/JKO 없애/VV 기/ETN 위하/VV 아/EC 정당/NNG 후보/NNG 의/JKG 2/SN 	배/NNG	이/VCP ᆫ/ETM 국회/NNG 의원/NNG 선거/NNG 에서/JKB 의/JKG 무/XPN 소속/NNG 후보/NNG 기탁금/NNG 2/SN 천/NR 만/NR 원/NNB 을/JKO 1/SN 천/NR 만/NR 원/NNB 으로/JKB 하향/NNG 조정/NNG 하/XSV 는/ETM 
배__09/NNG	1/SN 백억/NR ～/SO 3/SN 백억/NR 원/NNB 에/JKB 달하/VV 고/EC 있/VX 으며/EC ,/SP 특히/MAG 도시/NNG 지역/NNG 의/JKG 겨우/MAG 용지/NNG 보상비/NNG 가/JKS 공사비/NNG 의/JKG 3/SN ～/SO 4/SN 	배/NNG	에/JKB 달하/VV 는/ETM 현상/NNG 이/JKS 발생/NNG 하/XSV 고/EC 있/VX 다고/EC 밝히/VV 었/EP 다/EF ./SF 
배__09/NNG	활발/XR //SP 원양/NNG 어선/NNG 등/NNB 1/SN ,/SP 800/SN 여/XSN 명/NNB 진출/NNG 선원/NNG 기피/NNG 구인난/NNG 업계/NNG "/SS 숨통/NNG "/SS //SP "/SS 중국/NNP 보다/JKB 7/SN ～/SO 8/SN 	배/NNG	고임/NNG "/SS 인기/NNG //SP 고용법/NNG 상/XSN 제/XPN 3/SN 국__x10/NNG 서/JKB 승-하선/NNG 편법/NNG 최근/NNG 선원/NNG 구하/VV 기/ETN 가/JKS 날로/MAG 어렵/VA 어/EC 지/VX 면서/EC 중국/NNP 거주/NNG 우리/NP 
배__02/NNG	현재/MAG 중국/NNP 교포/NNG 선원/NNG 들/XSN 이/JKS 주로/MAG 승선/NNG 하/XSV 고/EC 있/VX 는/ETM 	배/NNG	는/JX 라스팔마스/NNP 등/NNB 원양/NNG 어업/NNG 기지/NNG 에/JKB 진출/NNG 하/XSV 아/EC 있/VX 는/ETM 국내/NNG 선박/NNG ,/SP 현지/NNG 교민/NNG 들/XSN 소유/NNG 의/JKG 선박/NNG ,/SP 한국인/NNG 선원/NNG 들/XSN 
배__09/NNG	어/EC 가/VX 고/EC 있/VX 는데/EC ,/SP 이/NP 는/JX 해외/NNG 취업/NNG 선원/NNG 월급/NNG 이/JKS 중국/NNP 일반/NNG 노동자/NNG 들/XSN 의/JKG 월급/NNG 에/JKB 비하/VV 아/EC 7/SN ～/SO 8/SN 	배/NNG	가/JKS 많/VA 기/ETN 때문/NNB 이/VCP 다/EF ./SF 
배__09/NNG	1991/SN //SP 09/SN //SP 25/SN 02/SN 바나나/NNG 수입/NNG 15/SN 	배/NNG	급증/NNG 추궁/NNG //SP 콜레라/NNG 환자/NNG 백/NR 13/SN 명/NNB 발생/NNG 국감/NNG 어제/NNG 재개/NNG 국회/NNG 는/JX 추석/NNG 연휴/NNG 로/JKB 잠시/MAG 중단/NNG 하/XSV 았/EP 던/ETM 국정/NNG 감사/NNG 를/JKO 
배__09/NNG	에서/JKB 여야/NNG 의원/NNG 들/XSN 은/JX "/SS 지나/VV ᆫ/ETM 8/SN 월/NNB 20/SN 일/NNB 현재/MAG 수입/NNG 바나나/NNG 는/JX 25/SN 만/NR 톤/NNG 으로/JKB 지난해/NNG 에/JKB 비하/VV 아/EC 15/SN 	배/NNG	가/JKS 넘/VV 고/EC 있/VX 으며/EC 이/NP 로/JKB 인하/VV ᆫ/ETM 과수/NNG 농가/NNG 의/JKG 피해/NNG 가/JKS 2/SN 백/NR 30/SN 억/NR 원/NNB 에/JKB 이르/VV 고/EC 있/VX 다/EC "/SS 
배__09/NNG	은/JX 하루/NNG 8/SN 시간/NNB 을/JKO 기준/NNG 으로/JKB 2/SN 만/NR ～/SO 2/SN 만/NR 5/SN 천/NR 원/NNB 선/NNG 이/JKC 되/VV 었/EP 다/EC 2/SN 년/NNB 동안/NNG 2/SN 3/SN 	배/NNG	가/JKS 오르/VV ᆫ/ETM 것/NNB 이/VCP 다/EF ./SF 
배__09/NNG	그/MM 가격/NNG 이/JKS 실제/NNG 가격/NNG 의/JKG 두/MM 	배/NNG	가/JKC 되/VV 는지/EC ,/SP 10/SN 배/NNG 가/JKC 되/VV 는지/EC 는/JX 알/VV ᆯ/ETM 수/NNB 없/VA 는/ETM 일/NNG 이/VCP 다/EF ./SF 
배__09/NNG	그/MM 가격/NNG 이/JKS 실제/NNG 가격/NNG 의/JKG 두/MM 배/NNG 가/JKC 되/VV 는지/EC ,/SP 10/SN 	배/NNG	가/JKC 되/VV 는지/EC 는/JX 알/VV ᆯ/ETM 수/NNB 없/VA 는/ETM 일/NNG 이/VCP 다/EF ./SF 
배__01/NNG	아프/VA ᆫ/ETM 다리/NNG 를/JKO 이끌/VV 고/EC 	배/NNG	를/JKO 곯/VV 으며/EC 운동/NNG 하/XSV ᆯ/ETM 때/NNG 는/JX 그렇/VA 게/EC 뛰/VV 는/ETM 것/NNB 이/JKS 싫/VA 더니/EC 지금/NNG 은/JX 어디/NP 이/VCP 든지/EC 뛰어가/VV 고/EC 싶/VX 단다/EF 
배__09/NNG	"/SS "/SS 어휴/IC ,/SP 쓰/VV 는/ETM 것/NNB 보다/JKB 야단맞/VV 고/EC 고치/VV 는/ETM 것/NNB 이/JKS 3/SN 	배/NNG	는/JX 더/MAG 힘들/VA 었/EP 는걸요/EF ./SF 
